Ministério da Integração e do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2025 Data Final: 29/05/2025 UF: SC
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
SC;Alto Bela Vista;18/05/2025;SC-F-4200754-12300-20250518;12300 - Alagamentos;Registro;2005;0;0;0;11;1;0;0;4;0;30000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;100000.0;;;;;;0.0;0.0;0.0;5000.0;6000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Presidente Castello Branco;18/05/2025;SC-F-4213906-12300-20250518;12300 - Alagamentos;Registro;1724;0;0;2;0;61;0;0;21;0;0.0;0;0;0.0;0;0;0.0;3;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Balneário Piçarras;15/04/2025;SC-F-4212809-12300-20250412;12300 - Alagamentos;Registro;17074;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Capivari de Baixo;11/04/2025;SC-F-4203956-12300-20250410;12300 - Alagamentos;Registro;21689;0;0;0;0;0;0;30;30;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2000.0;0.0;0.0
SC;Laguna;11/04/2025;SC-F-4209409-12300-20250410;12300 - Alagamentos;Registro;51554;0;0;0;0;0;0;20;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Jaguaruna;10/04/2025;SC-F-4208807-12300-20250410;12300 - Alagamentos;Registro;17291;0;0;0;0;10;0;30;0;0;0.0;3;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Balneário Piçarras;15/04/2025;SC-F-4212809-12300-20250409;12300 - Alagamentos;Registro;17074;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Campo Erê;01/04/2025;SC-F-4203501-12300-20250331;12300 - Alagamentos;Registro;9370;0;0;0;0;0;0;15;3;0;30000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;DE 0% A 5%;;;;;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0
SC;Capivari de Baixo;17/03/2025;SC-F-4203956-12300-20250309;12300 - Alagamentos;Registro;21689;0;0;0;0;0;0;100;100;0;0.0;1;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Faxinal dos Guedes;05/03/2025;SC-F-4205308-12300-20250228;12300 - Alagamentos;Registro;10658;0;0;0;0;0;0;30;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Anita Garibaldi;18/02/2025;SC-F-4201000-12300-20250217;12300 - Alagamentos;Registro;8627;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Santa Cecília;05/02/2025;SC-F-4215505-12300-20250204;12300 - Alagamentos;Registro;15740;0;0;0;15;10;0;0;27;0;100000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;DE 0% A 5%;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SC;Biguaçu;27/01/2025;SC-F-4202305-12300-20250116;12300 - Alagamentos;Registro;58238;0;0;0;31;34;0;0;34;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
